"player_name","avg_age_in_career","avg_player_height","avg_player_weight","college","country","draft_year","draft_round","draft_number","total_gp","avg_pts","avg_reb","avg_ast","avg_net_rating","avg_oreb_pct","avg_dreb_pct","avg_usg_pct","avg_ts_pct","avg_ast_pct","modern_draft_round"
"A.C. Green",35,205.74,102.0582,"Oregon State","USA","1985","1","23",379,5.85804749340369,6.18812664907652,0.89023746701847,-1.88,0.093,0.1864,0.1274,0.4868,0.054,"Round 1"
"A.J. Bramlett",23,208.28,102.965384,"Arizona","USA","1999","2","39",8,1,2.8,0,-32.6,0.158,0.208,0.146,0.19,0,"Round 2"
"A.J. Guyton",24,185.42,81.64656,"Indiana","USA","2000","2","32",80,5.5125,1.01625,1.82125,-6.7,0.0133333333333333,0.04,0.224,0.324,0.282,"Round 2"
"A.J. Lawson",22,198.12,81.192968,"South Carolina","Canada","Undrafted","Undrafted","Undrafted",15,3.7,1.4,0.1,-20.1,0.046,0.152,0.189,0.589,0.032,"Undrafted"
"Aaron Brooks",28.1,182.88,73.028312,"Oregon","USA","2007","1","26",645,9.71116279069767,1.67023255813953,2.98124031007752,-3.31,0.0227,0.0697,0.2222,0.521,0.2307,"Round 1"
"Aaron Gordon",23,204.611111111111,102.814186666667,"Arizona","USA","2014","1","4",596,13.4110738255034,6.33104026845638,2.53791946308725,1,0.0606666666666667,0.163777777777778,0.198555555555556,0.548666666666667,0.123222222222222,"Round 1"
"Aaron Gray",26,213.36,122.46984,"Pittsburgh","USA","2007","2","49",318,3.35314465408805,3.74748427672956,0.665094339622642,-4.72857142857143,0.131285714285714,0.232857142857143,0.150428571428571,0.527142857142857,0.0877142857142857,"Round 2"
"Aaron Harrison",22,198.12,95.25432,"Kentucky","USA","Undrafted","Undrafted","Undrafted",35,2.29142857142857,1.2,0.454285714285714,-10.1666666666667,0.0206666666666667,0.141333333333333,0.142333333333333,0.288333333333333,0.16,"Undrafted"
"Aaron Henry",22,195.58,95.25432,"Michigan State","USA","Undrafted","Undrafted","Undrafted",6,0.3,0.2,0,-56,0,0.048,0.149,0.2,0,"Undrafted"
"Aaron Holiday",24,183.388,83.91452,"UCLA","USA","2018","1","23",308,6.62272727272727,1.63798701298701,2.18896103896104,1.7,0.0168,0.0752,0.1776,0.5228,0.173,"Round 1"
"Aaron Jackson",32,190.5,83.007336,"None","USA","Undrafted","Undrafted","Undrafted",1,8,3,1,-19.8,0.056,0.031,0.149,0.405,0.053,"Undrafted"
"Aaron McKie",29,195.58,94.800728,"Temple","USA","1994","1","17",667,7.06971514242879,3.2431784107946,2.74737631184408,0.672727272727273,0.025,0.135454545454545,0.138272727272727,0.495454545454545,0.181090909090909,"Round 1"
"Aaron Miles",23,185.42,86.18248,"Kansas","USA","Undrafted","Undrafted","Undrafted",19,0.8,0.7,1.3,-3.9,0,0.154,0.113,0.405,0.308,"Undrafted"
